Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Sericocarpus rigidus - White-top Aster,Terrestrial,Vascular Plants,Sericocarpus rigidus,White-top Aster,NA,Special Concern,2009-04-26,2019-04-26 00:00:00,White-top Aster,NA,Special Concern,2011-02-04,Schedule 1,2003-06-05,British Columbia,NA,Downlisted: Threatened to special concern,9999-01-01
Silene scouleri ssp. grandis - Coastal Scouler's Catchfly,Terrestrial,Vascular Plants,Silene scouleri ssp. grandis,Coastal Scouler's Catchfly,NA,Endangered,2003-05-01,2013-05-01 00:00:00,Coastal Scouler's Catchfly,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Silene spaldingii - Spalding's Campion,Terrestrial,Vascular Plants,Silene spaldingii,Spalding's Campion,NA,Endangered,2005-05-05,2015-05-05 00:00:00,Spalding's Campion,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
Sorex bendirii - Pacific Water Shrew,Terrestrial,Mammals (terrestrial),Sorex bendirii,Pacific Water Shrew,NA,Endangered,2016-04-29,2026-04-29 00:00:00,Pacific Water Shrew,NA,Endangered,2007-12-13,Schedule 1,2003-06-05,British Columbia,NA,Uplisted,9999-01-01
Spea intermontana - Great Basin Spadefoot,Terrestrial,Amphibians,Spea intermontana,Great Basin Spadefoot,NA,Threatened,2019-11-29,2029-11-29 00:00:00,Great Basin Spadefoot,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Spermophilus saturatus - Cascade Mantled Ground Squirrel,Terrestrial,Mammals (terrestrial),Spermophilus saturatus,Cascade Mantled Ground Squirrel,NA,Not at Risk,1992-04-01,2002-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Sphyrapicus thyroideus - Williamson's Sapsucker,Terrestrial,Birds,Sphyrapicus thyroideus,Williamson's Sapsucker,NA,Endangered,2017-11-01,2027-11-01 00:00:00,Williamson's Sapsucker,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
Spiranthes diluvialis - Ute Ladies’–tresses,Terrestrial,Vascular Plants,Spiranthes diluvialis,Ute Ladies’–tresses,NA,Endangered,2018-11-01,2028-11-01 00:00:00,Ute Ladies’–tresses,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Addition,Pending,9999-01-01
Spirinchus thaleichthys - Longfin Smelt (Pygmy population),Aquatic,Fishes (freshwater),Spirinchus thaleichthys,Longfin Smelt,Pygmy population,Data Deficient,2004-11-01,2014-11-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Squalus suckleyi - North Pacific Spiny Dogfish,Aquatic,Fishes (marine),Squalus suckleyi,North Pacific Spiny Dogfish,NA,Special Concern,2011-11-25,2021-11-25 00:00:00,North Pacific Spiny Dogfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Addition,Pending,9999-01-01
Staala gwaii - Haida Gwaii Slug,Terrestrial,Molluscs,Staala gwaii,Haida Gwaii Slug,NA,Special Concern,2013-05-03,2023-05-03 00:00:00,Haida Gwaii Slug,NA,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,NA,Added to list,9999-01-01
Steiroxys strepens - Vancouver Island Shieldback,Terrestrial,Arthropods,Steiroxys strepens,Vancouver Island Shieldback,NA,Endangered,2022-05-11,2032-05-11 00:00:00,Vancouver Island Shieldback,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Addition,Pending,9999-01-01
Stenella coeruleoalba - Striped Dolphin,Aquatic,Mammals (marine),Stenella coeruleoalba,Striped Dolphin,NA,Not at Risk,1993-04-01,2003-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Pacific Ocean",NA,NA,9999-01-01
Sterna caspia - Caspian Tern,Terrestrial,Birds,Sterna caspia,Caspian Tern,NA,Not at Risk,1999-04-01,2009-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan",NA,NA,9999-01-01
Sterna forsteri - Forster's Tern,Terrestrial,Birds,Sterna forsteri,Forster's Tern,NA,Data Deficient,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",NA,NA,9999-01-01
Strix nebulosa - Great Grey Owl,Terrestrial,Birds,Strix nebulosa,Great Grey Owl,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Strix occidentalis caurina - Spotted Owl caurina subspecies,Terrestrial,Birds,Strix occidentalis caurina,Spotted Owl caurina subspecies,NA,Endangered,2008-04-25,2018-04-25 00:00:00,Spotted Owl caurina subspecies,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Stylurus olivaceus - Olive Clubtail,Terrestrial,Arthropods,Stylurus olivaceus,Olive Clubtail,NA,Endangered,2011-05-06,2021-05-06 00:00:00,Olive Clubtail,NA,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,NA,Added to list,9999-01-01
Surnia ulula - Northern Hawk Owl,Terrestrial,Birds,Surnia ulula,Northern Hawk Owl,NA,Not at Risk,1992-04-01,2002-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Sylvilagus nuttallii nuttallii - Nuttall's Cottontail nuttallii subspecies,Terrestrial,Mammals (terrestrial),Sylvilagus nuttallii nuttallii,Nuttall's Cottontail nuttallii subspecies,NA,Special Concern,2016-11-27,2026-11-27 00:00:00,Nuttall's Cottontail nuttallii subspecies,NA,Special Concern,2007-12-13,Schedule 1,2007-12-13,British Columbia,NA,Added to list,9999-01-01
Symphyotrichum frondosum - Short-rayed Alkali Aster,Terrestrial,Vascular Plants,Symphyotrichum frondosum,Short-rayed Alkali Aster,NA,Endangered,2006-04-29,2016-04-29 00:00:00,Short-rayed Alkali Aster,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,NA,Added to list,9999-01-01
Synthliboramphus antiquus - Ancient Murrelet,Terrestrial,Birds,Synthliboramphus antiquus,Ancient Murrelet,NA,Special Concern,2014-11-28,2024-11-28 00:00:00,Ancient Murrelet,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",NA,Added to list,9999-01-01
Syntrichia laevipila - Twisted Oak Moss,Terrestrial,Mosses,Syntrichia laevipila,Twisted Oak Moss,NA,Special Concern,2014-11-28,2024-11-28 00:00:00,Twisted Oak Moss,NA,Special Concern,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Talinum sediforme - Fameflower,Terrestrial,Vascular Plants,Talinum sediforme,Fameflower,NA,Not at Risk,1990-04-01,2000-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Taxidea taxus - American Badger,Terrestrial,Mammals (terrestrial),Taxidea taxus,American Badger,NA,Non-active,2000-05-01,2010-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",NA,NA,9999-01-01
Taxidea taxus jeffersonii - American Badger jeffersonii subspecies,Terrestrial,Mammals (terrestrial),Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,NA,Non-active,2012-11-25,2022-11-25 00:00:00,American Badger jeffersonii subspecies,NA,No Status,2018-05-30,No schedule,2003-06-05,British Columbia,NA,Struck - WS reassignment,9999-01-01
Taxidea taxus jeffersonii - American Badger jeffersonii subspecies (Eastern population),Terrestrial,Mammals (terrestrial),Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Eastern population,Endangered,2012-11-25,2022-11-25 00:00:00,American Badger jeffersonii subspecies,Eastern population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,NA,NA,2025-11-01
Taxidea taxus jeffersonii - American Badger jeffersonii subspecies (Western population),Terrestrial,Mammals (terrestrial),Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Western population,Endangered,2012-11-25,2022-11-25 00:00:00,American Badger jeffersonii subspecies,Western population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,NA,NA,2025-11-01
Thaleichthys pacificus - Eulachon (Central Pacific Coast population),Aquatic,Fishes (marine),Thaleichthys pacificus,Eulachon,Central Pacific Coast population,Endangered,2011-05-06,2021-05-06 00:00:00,Eulachon,Central Pacific Coast population,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Pacific Ocean",Addition,Pending,9999-01-01
Thaleichthys pacificus - Eulachon (Fraser River population),Aquatic,Fishes (marine),Thaleichthys pacificus,Eulachon,Fraser River population,Endangered,2011-05-06,2021-05-06 00:00:00,Eulachon,Fraser River population,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Pacific Ocean",Addition,Pending,9999-01-01
Thaleichthys pacificus - Eulachon (Nass / Skeena Rivers population),Aquatic,Fishes (marine),Thaleichthys pacificus,Eulachon,Nass / Skeena Rivers population,Special Concern,2013-05-03,2023-05-03 00:00:00,Eulachon,Nass / Skeena Rivers population,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Pacific Ocean",Addition,Pending,9999-01-01
Thamnophis ordinoides - Northwestern Gartersnake,Terrestrial,Reptiles,Thamnophis ordinoides,Northwestern Gartersnake,NA,Not at Risk,2003-05-01,2013-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Tonella tenella - Small-flowered Tonella,Terrestrial,Vascular Plants,Tonella tenella,Small-flowered Tonella,NA,Endangered,2003-11-01,2013-11-01 00:00:00,Small-flowered Tonella,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Trillium hibbersonii - Hibberson’s Trillium,Terrestrial,Vascular Plants,Trillium hibbersonii,Hibberson’s Trillium,NA,Threatened,2023-12-01,2033-12-01 00:00:00,Hibberson’s Trillium,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Addition,Pending,9999-01-01
Tringa flavipes - Lesser Yellowlegs,Terrestrial,Birds,Tringa flavipes,Lesser Yellowlegs,NA,Threatened,2020-11-04,2030-11-04 00:00:00,Lesser Yellowlegs,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Addition,Pending,9999-01-01
Triphysaria versicolor - Bearded Owl-clover,Terrestrial,Vascular Plants,Triphysaria versicolor,Bearded Owl-clover,NA,Endangered,2011-11-25,2021-11-25 00:00:00,Bearded Owl-clover,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Triteleia howellii - Howell's Triteleia,Terrestrial,Vascular Plants,Triteleia howellii,Howell's Triteleia,NA,Endangered,2003-05-01,2013-05-01 00:00:00,Howell's Triteleia,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Tryngites subruficollis - Buff-breasted Sandpiper,Terrestrial,Birds,Tryngites subruficollis,Buff-breasted Sandpiper,NA,Special Concern,2012-05-04,2022-05-04 00:00:00,Buff-breasted Sandpiper,NA,Special Concern,2017-02-03,Schedule 1,2017-02-03,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",NA,Added to list,9999-01-01
Tyto alba - Barn Owl,Terrestrial,Birds,Tyto alba,Barn Owl,NA,Non-active,1999-04-01,2009-04-01 00:00:00,Barn Owl,NA,NA,9999-01-01,No schedule,9999-01-01,"British Columbia, Ontario, Quebec",NA,NA,9999-01-01
Tyto alba - Barn Owl (Western population),Terrestrial,Birds,Tyto alba,Barn Owl,Western population,Threatened,2010-11-26,2020-11-26 00:00:00,Barn Owl,Western population,Threatened,2018-05-30,Schedule 1,2003-06-05,British Columbia,NA,Uplisted: Special Concern to threatened,9999-01-01
Uropappus lindleyi - Lindley's False Silverpuffs,Terrestrial,Vascular Plants,Uropappus lindleyi,Lindley's False Silverpuffs,NA,Endangered,2008-04-25,2018-04-25 00:00:00,Lindley's False Silverpuffs,NA,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,NA,Added to list,9999-01-01
Ursus americanus - American Black Bear,Terrestrial,Mammals (terrestrial),Ursus americanus,American Black Bear,NA,Not at Risk,1999-04-01,2009-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Ursus arctos - Grizzly Bear,Terrestrial,Mammals (terrestrial),Ursus arctos,Grizzly Bear,NA,Non-active,1991-04-01,2001-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Northwest Territories, Nunavut, Yukon",NA,NA,9999-01-01
Ursus arctos - Grizzly Bear (Northwestern population),Terrestrial,Mammals (terrestrial),Ursus arctos,Grizzly Bear,Northwestern population,Non-active,2012-05-04,2022-05-04 00:00:00,Grizzly Bear,Northwestern population,No Status,2005-01-12,No schedule,9999-01-01,"Alberta, British Columbia, Northwest Territories, Nunavut, Yukon",NA,Decision deferred further consultations required,9999-01-01
Ursus arctos - Grizzly Bear (Western population),Terrestrial,Mammals (terrestrial),Ursus arctos,Grizzly Bear,Western population,Special Concern,2012-05-04,2022-05-04 00:00:00,Grizzly Bear,Western population,Special Concern,2018-05-30,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Saskatchewan, Yukon",NA,Added to list,2025-11-01
Vertigo rowellii - Threaded Vertigo,Terrestrial,Molluscs,Vertigo rowellii,Threaded Vertigo,NA,Special Concern,2022-05-11,2032-05-11 00:00:00,Threaded Vertigo,NA,Special Concern,2012-06-20,Schedule 1,2012-06-20,British Columbia,NA,Added to list,9999-01-01
Viola praemorsa ssp. praemorsa - Yellow Montane Violet praemorsa subspecies,Terrestrial,Vascular Plants,Viola praemorsa ssp. praemorsa,Yellow Montane Violet praemorsa subspecies,NA,Endangered,2007-11-30,2017-11-30 00:00:00,Yellow Montane Violet praemorsa subspecies,NA,Endangered,2010-02-23,Schedule 1,2003-06-05,British Columbia,NA,Uplisted: Threatened to endangered,9999-01-01
Zacoleus idahoensis - Sheathed Slug,Terrestrial,Molluscs,Zacoleus idahoensis,Sheathed Slug,NA,Special Concern,2016-04-29,2026-04-29 00:00:00,Sheathed Slug,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,NA,Added to list,9999-01-01
Zalophus californianus - California Sea Lion,Aquatic,Mammals (marine),Zalophus californianus,California Sea Lion,NA,Not at Risk,1987-04-01,1997-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Pacific Ocean",NA,NA,9999-01-01
Ziphius cavirostris - Cuvier's Beaked Whale,Aquatic,Mammals (marine),Ziphius cavirostris,Cuvier's Beaked Whale,NA,Not at Risk,1990-04-01,2000-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Pacific Ocean",NA,NA,9999-01-01
Zygodon gracilis - Slender Yoke-moss,Terrestrial,Mosses,Zygodon gracilis,Slender Yoke-moss,NA,Endangered,2019-11-29,2029-11-29 00:00:00,Slender Yoke-moss,NA,Endangered,2024-06-10,Schedule 1,2024-06-10,British Columbia,NA,Added to list,9999-01-01
