Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Pseudocyphellaria rainierensis - Oldgrowth Specklebelly Lichen,Terrestrial,Lichens,Pseudocyphellaria rainierensis,Oldgrowth Specklebelly Lichen,NA,Special Concern,2010-04-25,2020-04-25 00:00:00,Oldgrowth Specklebelly Lichen,NA,Special Concern,2012-06-20,Schedule 1,2012-06-20,British Columbia,NA,Added to list,9999-01-01
Pseudorca crassidens - False Killer Whale,Aquatic,Mammals (marine),Pseudorca crassidens,False Killer Whale,NA,Not at Risk,1990-04-01,2000-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Psilocarphus brevissimus - Dwarf Woolly-heads (Southern Mountain population),Terrestrial,Vascular Plants,Psilocarphus brevissimus,Dwarf Woolly-heads,Southern Mountain population,Endangered,2006-04-29,2016-04-29 00:00:00,Dwarf Woolly-heads,Southern Mountain population,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,NA,Added to list,9999-01-01
Psilocarphus elatior - Tall Woolly-heads,Terrestrial,Vascular Plants,Psilocarphus elatior,Tall Woolly-heads,NA,Endangered,2018-04-27,2028-04-27 00:00:00,Tall Woolly-heads,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Psilocarphus tenellus var. tenellus - Slender Woolly-heads,Terrestrial,Vascular Plants,Psilocarphus tenellus var. tenellus,Slender Woolly-heads,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Psilochorus hesperus - Northwestern Cellar Spider,Terrestrial,Arthropods,Psilochorus hesperus,Northwestern Cellar Spider,NA,Not at Risk,2014-05-02,2024-05-02 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Pterygoneurum kozlovii - Alkaline Wing-nerved Moss,Terrestrial,Mosses,Pterygoneurum kozlovii,Alkaline Wing-nerved Moss,NA,Threatened,2004-11-01,2014-11-01 00:00:00,Alkaline Wing-nerved Moss,NA,Threatened,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Saskatchewan",NA,Added to list,9999-01-01
Ptychoramphus aleuticus - Cassin's Auklet,Terrestrial,Birds,Ptychoramphus aleuticus,Cassin's Auklet,NA,Special Concern,2014-11-28,2024-11-28 00:00:00,Cassin's Auklet,NA,Special Concern,2019-05-22,Schedule 1,2019-05-22,"British Columbia, Pacific Ocean",NA,Added to list,9999-01-01
Pusa hispida - Ringed Seal,Aquatic,Mammals (marine),Pusa hispida,Ringed Seal,NA,Special Concern,2019-11-29,2029-11-29 00:00:00,Ringed Seal,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Pacific Ocean, Quebec, Yukon",Addition,Pending,9999-01-01
Pycnopodia helianthoides - Sunflower Sea Star,Aquatic,Echinodermata,Pycnopodia helianthoides,Sunflower Sea Star,NA,Not applicable,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"BC, CMN, CWS, DFO, MNJFC, NJFMC, NWC, Parks, Pacific Ocean, TAJFC, TWJFC",NA,NA,2025-04-01
